sku,product_name,category,price,launch_date,is_active
VEN-TOP-001-BLK-S,トップス A / BLACK / S,tops,12000,2026-03-01,TRUE
VEN-TOP-001-BLK-M,トップス A / BLACK / M,tops,12000,2026-03-01,TRUE
VEN-TOP-001-BLK-L,トップス A / BLACK / L,tops,12000,2026-03-01,TRUE
VEN-TOP-001-WHT-S,トップス A / WHITE / S,tops,12000,2026-03-01,TRUE
VEN-TOP-001-WHT-M,トップス A / WHITE / M,tops,12000,2026-03-01,TRUE
VEN-BOT-002-BLK-S,パンツ B / BLACK / S,bottoms,18000,2026-03-15,TRUE
VEN-BOT-002-BLK-M,パンツ B / BLACK / M,bottoms,18000,2026-03-15,TRUE
VEN-BOT-002-BLK-L,パンツ B / BLACK / L,bottoms,18000,2026-03-15,TRUE
VEN-OUT-003-BEG-F,アウター C / BEIGE / F,outerwear,35000,2026-04-01,TRUE
VEN-ACC-004-BLK-F,バッグ D / BLACK / F,accessories,22000,2026-04-15,TRUE
